ip,first_seen,last_seen,categories,events,signals
1.212.225.99,2026-08-31T18:00:00Z,2026-09-03T18:00:00Z,1,8,honeypot_connection;honeypot_login_attempt
2.56.116.164,2026-09-01T13:00:00Z,2026-09-03T16:00:00Z,1,23,honeypot_connection;honeypot_login_attempt
2.57.121.112,2026-08-22T04:00:00Z,2026-09-03T19:00:00Z,1,124,honeypot_connection;honeypot_login_attempt
2.179.194.193,2026-08-31T04:00:00Z,2026-09-03T13:00:00Z,1,6,honeypot_connection;honeypot_login_attempt
2.180.6.8,2026-09-03T00:00:00Z,2026-09-03T00:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
5.129.154.251,2026-09-03T08:00:00Z,2026-09-03T08:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
12.17.116.74,2026-08-25T18:00:00Z,2026-09-03T12:00:00Z,1,50,honeypot_connection;honeypot_login_attempt
14.47.61.251,2026-09-01T13:00:00Z,2026-09-03T15:00:00Z,1,6,honeypot_connection;honeypot_login_attempt
14.54.22.11,2026-08-25T23:00:00Z,2026-09-03T15:00:00Z,1,8,honeypot_connection;honeypot_login_attempt
23.94.112.131,2026-09-01T13:00:00Z,2026-09-03T17:00:00Z,1,52,honeypot_connection;honeypot_login_attempt
23.94.122.169,2026-09-01T23:00:00Z,2026-09-03T16:00:00Z,1,28,honeypot_connection;honeypot_login_attempt
23.95.35.105,2026-09-01T13:00:00Z,2026-09-03T19:00:00Z,1,106,honeypot_connection;honeypot_login_attempt
24.45.235.179,2026-09-02T04:00:00Z,2026-09-03T12:00:00Z,1,6,honeypot_connection;honeypot_login_attempt
24.207.66.154,2026-08-25T21:00:00Z,2026-09-03T15:00:00Z,1,6,honeypot_connection;honeypot_login_attempt
27.107.102.154,2026-09-03T07:00:00Z,2026-09-03T10:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
31.41.84.98,2026-09-03T18:00:00Z,2026-09-03T18:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
31.131.106.203,2026-09-03T17:00:00Z,2026-09-03T17:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
31.173.29.136,2026-09-03T04:00:00Z,2026-09-03T04:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
34.38.245.25,2026-08-21T03:00:00Z,2026-09-03T18:00:00Z,1,5,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
34.79.30.146,2026-08-29T23:00:00Z,2026-09-03T06:00:00Z,1,81,honeypot_connection;honeypot_login_attempt
34.96.60.218,2026-09-03T00:00:00Z,2026-09-03T00:00:00Z,1,1286,honeypot_command_exec;honeypot_connection
35.130.111.146,2026-09-03T04:00:00Z,2026-09-03T04:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
35.195.116.43,2026-09-03T05:00:00Z,2026-09-03T05:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
35.205.235.152,2026-09-02T20:00:00Z,2026-09-02T20:00:00Z,1,3,honeypot_connection;honeypot_login_attempt
36.32.70.114,2026-09-03T06:00:00Z,2026-09-03T06:00:00Z,1,7,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
36.135.62.89,2026-08-31T23:00:00Z,2026-09-03T11:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
36.255.44.90,2026-09-03T13:00:00Z,2026-09-03T13:00:00Z,1,121,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
36.255.97.167,2026-09-03T10:00:00Z,2026-09-03T19:00:00Z,1,6,honeypot_connection;honeypot_login_attempt
37.53.111.235,2026-09-03T13:00:00Z,2026-09-03T13:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
37.148.132.205,2026-09-01T13:00:00Z,2026-09-03T16:00:00Z,1,490,honeypot_connection;honeypot_login_attempt
37.148.133.121,2026-09-01T13:00:00Z,2026-09-03T16:00:00Z,1,476,honeypot_connection;honeypot_login_attempt
37.148.134.161,2026-09-01T13:00:00Z,2026-09-03T16:00:00Z,1,623,honeypot_connection;honeypot_login_attempt
39.107.142.38,2026-09-03T19:00:00Z,2026-09-03T19:00:00Z,1,19,honeypot_command_exec;honeypot_connection;honeypot_file_download;honeypot_login_attempt
39.164.94.190,2026-09-03T01:00:00Z,2026-09-03T01:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
41.90.236.3,2026-08-26T18:00:00Z,2026-09-03T11:00:00Z,1,6,honeypot_connection;honeypot_login_attempt
